Name,Latitude,Longitude
Richmond,37.5407,-77.436
Norfolk,36.8508,-76.2859
Roanoke,37.271,-79.9414
Asheville,35.5951,-82.5515
Charlotte,35.2271,-80.8431
Raleigh,35.7796,-78.6382
Greenville,34.8526,-82.394
Columbia,34.0007,-81.0348
Charleston,32.7765,-79.9311
Wilmington,34.2104,-77.8868
Augusta,33.4735,-82.0105
Columbus,32.461,-84.9877
Birmingham,33.5186,-86.8104
Huntsville,34.7304,-86.5861
Nashville,36.1627,-86.7816
Knoxville,35.9606,-83.9207
Charleston,38.3498,-81.6326
Mobile,30.6954,-88.0399
Tallahasee,30.4383,-84.2807
Jacksonville,30.3322,-81.6557
Orlando,28.5384,-81.3789
Tampa,27.9506,-82.4572
Miami,25.7617,-80.1918
New Orleans,29.9511,-90.0715
Jackson,32.2988,-90.1848
Memphis,35.1495,-90.049
Chattanooga,35.0456,-85.3097
Shreveport,32.5252,-93.7502
Savannah,32.0809,-81.0912
